nro_solicitud,periodo,categoria,prestacion,tipo,fecha_ingreso,hora_ingreso,distrito,urbanizacion,via,numero,referencia,canal,latitud,longitud,genero,estado
00000011/23,202301,Limpieza Pública,Retiro de muebles y electrodomésticos en desuso,Solicitud,2023-01-02,13:34:08,Puente Piedra,La Ensenada,Panamericana Norte,3536,,Línea telefónica,-11.840398,-77.094608,F,Cerrado
00000012/23,202301,Otros,Acceso a la información pública,Solicitud,2023-01-02,14:36:35,,,,,,X,,,M,Cerrado
00000013/23,202301,Limpieza Pública,"Desratizar, desinsectar y desinfectar en vía pública",Solicitud,2023-01-02,15:54:42,San Juan de Miraflores,Ciudad de Dios,Av. Miguel Iglesias,1207,,Facebook,-12.162527,-76.962152,F,Cerrado
00000014/23,202301,Limpieza Pública,Reparación de contenedor,Solicitud,2023-01-02,17:01:14,San Juan de Lurigancho,Zárate,Av. El Sol de Zárate,731,,Línea telefónica,-12.002194,-77.017896,M,Cerrado
00000015/23,202301,Limpieza Pública,Reparación de contenedor,Solicitud,2023-01-02,21:04:35,Puente Piedra,Shangri-La,Av. Puente Piedra,2815,,X,-11.859986,-77.087113,F,Cerrado
00000016/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-02,21:55:28,San Juan de Lurigancho,Bayóvar,Av. Fernando Wiesse,335,,X,-11.997711,-76.956273,M,Cerrado
00000017/23,202301,Limpieza Pública,"Desratizar, desinsectar y desinfectar en vía pública",Solicitud,2023-01-02,23:39:34,La Victoria,Matute,Av. Iquitos,2887,,Facebook,-12.053401,-77.017883,M,Cerrado
00000018/23,202301,Limpieza Pública,Retiro de muebles y electrodomésticos en desuso,Solicitud,2023-01-02,23:47:54,Ate,Ceres,Ca. Los Cipreses,1428,,X,-12.027347,-76.902659,M,Cerrado
00000019/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-03,05:28:32,Villa María del Triunfo,César Vallejo,Ca. Las Magnolias,34,,Facebook,-12.157091,-76.929155,F,Cerrado
00000020/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-03,08:28:09,San Martín de Porres,Naranjal,Jr. Huandoy,4990,,Facebook,-12.011262,-77.110542,F,Cerrado
00000021/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-03,09:55:07,San Juan de Miraflores,Ciudad de Dios,Av. San Juan,3565,,X,-12.175149,-76.983294,M,Cerrado
00000022/23,202301,Limpieza Pública,Retiro de restos de poda o jardinería domiciliaria,Solicitud,2023-01-03,10:07:53,Ate,Huaycán,Av. Nicolás Ayllón,749,,X,-11.993399,-76.901952,F,Cerrado
00000023/23,202301,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-01-03,10:54:43,Comas,La Pascana,Av. Belaunde,226,,Presencial,-11.935096,-77.054973,M,Cerrado
00000024/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-03,11:10:37,San Juan de Miraflores,Ciudad de Dios,Av. San Juan,1505,,Facebook,-12.172841,-76.955413,M,Cerrado
00000025/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-03,11:31:17,Puente Piedra,Jerusalén,Ca. Los Jazmines,5256,,X,-11.866202,-77.073645,F,Cerrado
00000026/23,202301,Limpieza Pública,Irregularidades en la disposición de residuos de establecimientos,Denuncia,2023-01-03,11:33:51,Lince,Lobatón,Av. Arequipa,3030,,Facebook,-12.088045,-77.037907,F,Cerrado
00000027/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-03,11:51:06,Villa El Salvador,Sector 3,Av. El Sol,4625,,Facebook,-12.209818,-76.917012,M,Cerrado
00000028/23,202301,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-01-03,12:19:17,Los Olivos,Villa Sol,Av. Las Palmeras,11491,,Presencial,-11.985388,-77.079057,M,Cerrado
00000029/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-03,12:19:43,San Martín de Porres,Fiori,Av. Universitaria,287,,Facebook,-12.026815,-77.088706,M,Cerrado
00000030/23,202301,Tránsito/Transporte,Reparación de vereda rota por empresa de servicio,Solicitud,2023-01-03,12:27:28,San Juan de Lurigancho,Campoy,Av. Próceres de la Independencia,1658,,Presencial,-11.972656,-76.967345,F,Cerrado
00000031/23,202301,Áreas Verdes,Extracción de árbol,Solicitud,2023-01-03,12:34:47,San Juan de Lurigancho,Bayóvar,Av. El Sol de Zárate,3030,,Facebook,-12.018826,-76.974379,F,Cerrado
00000032/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-03,13:09:45,Lurigancho-Chosica,Carapongo,Carretera Central,1616,,Facebook,-11.897804,-76.7466,F,Cerrado
00000033/23,202301,Tránsito/Transporte,Reparación de vereda rota por empresa de servicio,Solicitud,2023-01-03,13:21:05,Puente Piedra,Jerusalén,Av. Puente Piedra,2208,,Presencial,-11.837222,-77.076943,F,Ingresado
00000034/23,202301,Limpieza Pública,Limpieza/Higienización de Espacios Públicos por Asentamientos Precarios,Solicitud,2023-01-03,14:17:47,San Martín de Porres,Santa Luisa,Av. Perú,432,,Línea telefónica,-12.008309,-77.078797,F,Cerrado
00000035/23,202301,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-01-03,16:06:35,San Juan de Lurigancho,Caja de Agua,Jr. Los Amautas,3185,,Presencial,-12.020772,-76.974252,F,Cerrado
00000036/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-03,16:24:29,San Borja,San Borja Sur,Av. San Borja Norte,3180,,X,-12.102261,-77.003041,F,Cerrado
00000037/23,202301,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-01-03,16:24:39,Lurigancho-Chosica,Chosica Centro,Av. Las Torres,2441,,Presencial,-11.951274,-76.738165,F,Cerrado
00000038/23,202301,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-01-03,16:26:57,Carabayllo,Lucyana,Av. San Felipe,302,,Presencial,-11.87548,-77.057041,F,Cerrado
00000039/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-03,16:58:57,Villa El Salvador,Pachacámac VES,Av. Micaela Bastidas,3581,,Facebook,-12.219333,-76.942434,M,Cerrado
00000040/23,202301,Áreas Verdes,Plantación de árbol,Solicitud,2023-01-03,17:04:57,Cercado de Lima,Palomino,Jr. Áncash,1366,,Facebook,-12.042362,-77.028173,M,Ingresado
00000041/23,202301,Áreas Verdes,Problemas con intervenciones de arbolado,Reclamo,2023-01-03,17:39:56,Ate,Salamanca,Av. La Molina,5365,,Línea telefónica,-12.006359,-76.907296,F,Cerrado
00000042/23,202301,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-01-03,17:44:24,Rímac,El Manzano,Jr. Hualgayoc,3005,,Presencial,-12.015743,-77.038231,M,Cerrado
00000043/23,202301,Seguridad Ciudadana (Serenazgo),Mayor presencia policial,Solicitud,2023-01-03,18:39:45,San Juan de Lurigancho,Zárate,Av. Próceres de la Independencia,2875,,Facebook,-11.951284,-77.045988,M,Cerrado
00000044/23,202301,Tránsito/Transporte,Remoción de vehículo abandonado,Solicitud,2023-01-03,18:40:22,Comas,El Retablo,Ca. Los Incas,5043,,Facebook,-11.942646,-77.03408,F,Cerrado
00000045/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-03,19:07:27,Ate,Huaycán,Av. La Molina,841,,X,-12.051229,-76.940976,M,Cerrado
00000046/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-03,19:43:34,Puente Piedra,Shangri-La,Av. Puente Piedra,2824,,Facebook,-11.868594,-77.082144,M,Cerrado
00000047/23,202301,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-01-03,20:20:20,Villa El Salvador,Sector 1,Av. Juan Velasco Alvarado,1416,,X,-12.185259,-76.952834,F,Cerrado
00000048/23,202301,Limpieza Pública,Reposición de contenedor,Solicitud,2023-01-03,20:56:05,La Victoria,El Porvenir,Av. México,401,,Línea telefónica,-12.060287,-77.025111,F,Cerrado
00000049/23,202301,Tránsito/Transporte,Remoción de vehículo abandonado,Solicitud,2023-01-03,21:56:32,Puente Piedra,Shangri-La,Av. Sangarará,4776,,Facebook,-11.857088,-77.080108,F,Cerrado
00000050/23,202301,Limpieza Pública,Reposición de contenedor,Solicitud,2023-01-03,23:38:28,El Agustino,Ancieta,Jr. Ancash Este,915,,Facebook,-12.034138,-76.98839,M,Cerrado
00000051/23,202301,Tránsito/Transporte,Remoción de vehículo abandonado,Solicitud,2023-01-04,07:52:53,San Juan de Lurigancho,Canto Grande,Av. Gran Chimú,1249,,Facebook,-11.939897,-76.978187,M,Cerrado
00000052/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-04,08:30:05,Chorrillos,Los Cedros de Villa,Av. Guardia Civil,4074,,Facebook,-12.15899,-77.019376,M,Cerrado
00000053/23,202301,Alumbrado Público,Reparación de luminaria apagada durante la noche,Solicitud,2023-01-04,08:34:30,Jesús María,Huiracocha,Av. San Felipe,3985,,X,-12.060426,-77.056528,M,Cerrado
00000054/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-04,09:57:03,Chorrillos,Matellini,Av. Alameda Sur,4651,,X,-12.169546,-77.040032,F,Cerrado
00000055/23,202301,Tránsito/Transporte,Reparación de vereda por obra mal terminada,Solicitud,2023-01-04,10:01:15,Puente Piedra,Laderas de Chillón,Av. Sangarará,5046,,Presencial,-11.872234,-77.107853,M,Cerrado
00000056/23,202301,Tránsito/Transporte,Reparación / construcción de sardinel,Solicitud,2023-01-04,10:30:31,Los Olivos,Covida,Av. Las Palmeras,583,,Presencial,-11.967261,-77.089264,F,Cerrado
00000057/23,202301,Tránsito/Transporte,Reparación de vereda por obra mal terminada,Solicitud,2023-01-04,10:56:25,Cercado de Lima,Unidad Vecinal Mirones,Av. Alfonso Ugarte,986,,Línea telefónica,-12.051077,-77.052935,F,Cerrado
00000058/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-04,12:15:27,Cercado de Lima,Palomino,Jr. Áncash,1844,,Facebook,-12.034862,-77.029543,F,Cerrado
00000059/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-04,12:22:59,Chorrillos,Matellini,Av. Guardia Civil,2322,,Facebook,-12.17506,-76.99947,M,Cerrado
00000060/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-04,12:28:02,Cercado de Lima,Conde de la Vega,Av. Abancay,1932,,X,-12.052369,-77.028346,F,Cerrado
00000061/23,202301,Seguridad Ciudadana (Serenazgo),Mayor presencia policial,Solicitud,2023-01-04,12:35:51,Rímac,Leoncio Prado,Jr. Trujillo,1324,,Facebook,-12.034782,-77.039905,M,Cerrado
00000062/23,202301,Tránsito/Transporte,Restos de obra en vereda que impiden el paso,Reclamo,2023-01-04,12:53:20,Lurigancho-Chosica,Santa María,Jr. Arequipa,1148,,X,-11.943156,-76.739754,M,Cerrado
00000063/23,202301,Limpieza Pública,Reubicación de contenedor,Solicitud,2023-01-04,14:27:08,Lince,Risso,Av. Arenales,1251,,Línea telefónica,-12.089426,-77.03865,M,Cerrado
00000064/23,202301,Tránsito/Transporte,Remoción de vehículo abandonado,Solicitud,2023-01-04,14:41:27,Carabayllo,Lucyana,Av. Camino Real de Carabayllo,1848,,Facebook,-11.822048,-77.052654,M,Cerrado
00000065/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-04,14:52:28,Ate,Salamanca,Av. La Molina,cdra. 3,a la altura del grifo,Línea telefónica,-12.034656,-76.915415,M,Cerrado
00000066/23,202301,Limpieza Pública,Lavado de contenedor,Solicitud,2023-01-04,16:16:53,San Borja,Torres de Limatambo,Av. Del Parque Sur,3500,,Línea telefónica,-12.095771,-76.997905,F,Cerrado
00000067/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-04,16:34:22,Ate,Salamanca,Av. La Molina,315,,X,-12.061023,-76.889831,M,Cerrado
00000068/23,202301,Tránsito/Transporte,Reparación de vereda,Solicitud,2023-01-04,16:55:06,Ate,Santa Clara,Av. La Molina,1651,,Línea telefónica,-12.029826,-76.955069,F,En proceso
00000069/23,202301,Limpieza Pública,"Desratizar, desinsectar y desinfectar en vía pública",Solicitud,2023-01-04,18:11:48,La Victoria,Santa Catalina,Av. México,2852,,Facebook,-12.055578,-77.025801,F,Cerrado
00000070/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-04,19:28:06,Santa Anita,Universal,Av. Santiago de Chuco,3867,,Línea telefónica,-12.05532,-76.963461,M,Cerrado
00000071/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-04,20:15:59,Ate,Salamanca,Av. La Molina,5126,,Facebook,-12.030588,-76.91244,M,Cerrado
00000072/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-04,20:35:43,Comas,Año Nuevo,Av. Universitaria,774,,X,-11.925661,-77.062954,F,Cerrado
00000073/23,202301,Limpieza Pública,Reposición de tacho de basura,Solicitud,2023-01-05,07:03:02,San Miguel,Elio,Av. La Paz,3615,,X,-12.074652,-77.094552,F,Cerrado
00000074/23,202301,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-01-05,08:43:34,Puente Piedra,Jerusalén,Av. San Juan de Dios,585,,Línea telefónica,-11.872371,-77.055527,M,Cerrado
00000075/23,202301,Limpieza Pública,Reubicación de contenedor,Solicitud,2023-01-05,09:10:12,Villa El Salvador,Oasis de Villa,Av. Juan Velasco Alvarado,3794,,Línea telefónica,-12.220373,-76.961238,F,Cerrado
00000076/23,202301,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-01-05,09:14:42,El Agustino,La Corporación,Av. Ferrocarril,1809,,Línea telefónica,-12.052925,-76.987287,M,Cerrado
00000077/23,202301,Otros,Propuestas para la mejora en trámites,Reclamo,2023-01-05,09:23:25,,,,,,Línea telefónica,,,F,Cerrado
00000078/23,202301,Limpieza Pública,Retiro de muebles y electrodomésticos en desuso,Solicitud,2023-01-05,09:47:31,Cercado de Lima,Santa Beatriz,Av. Nicolás de Piérola,2458,,X,-12.040962,-77.039855,F,Cerrado
00000079/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-05,10:17:37,Lurigancho-Chosica,Ñaña,Av. Las Torres,3360,,Facebook,-11.913752,-76.728226,F,Cerrado
00000080/23,202301,Otros,"Irregularidades en recital, show en vivo o actividad de baile en establecimientos comerciales",Denuncia,2023-01-05,11:22:58,Cieneguilla,Río Seco,Av. San Martín de Cieneguilla,5189,,Facebook,-12.067044,-76.755175,M,Cerrado
00000081/23,202301,Limpieza Pública,Retiro de restos de poda o jardinería domiciliaria,Solicitud,2023-01-05,13:08:15,Surquillo,Casas Huertas,Av. Tomás Marsano,3050,,Facebook,-12.115895,-77.015819,F,Cerrado
00000082/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-05,13:08:26,Puente Piedra,Jerusalén,Ca. Los Jazmines,2519,,Facebook,-11.853748,-77.094243,M,Cerrado
00000083/23,202301,Tránsito/Transporte,Reparación de vereda rota por empresa de servicio,Solicitud,2023-01-05,13:43:26,La Victoria,Matute,Av. Iquitos,4906,,Línea telefónica,-12.064657,-77.019556,F,Cerrado
00000084/23,202301,Otros,Pintura sobre grafitis,Solicitud,2023-01-05,14:21:52,Ate,Mayorazgo,Av. Prolongación Javier Prado,357,,Presencial,-12.032517,-76.884659,F,Cerrado
00000085/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-05,14:39:21,Villa El Salvador,Pachacámac VES,Av. César Vallejo,4248,,Facebook,-12.224796,-76.918421,F,Cerrado
00000086/23,202301,Limpieza Pública,"Desratizar, desinsectar y desinfectar en vía pública",Solicitud,2023-01-05,14:45:05,Cercado de Lima,Barrios Altos,Av. Abancay,3886,,X,-12.049949,-77.02843,M,Cerrado
00000087/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-05,15:19:36,Villa María del Triunfo,San Francisco de la Tablada,Ca. Las Magnolias,731,,Facebook,-12.186535,-76.925995,F,Cerrado
00000088/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-05,15:33:24,Carabayllo,San Pedro de Carabayllo,Av. San Felipe,219,,Facebook,-11.81597,-77.036731,F,Cerrado
00000089/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-05,15:40:27,San Juan de Lurigancho,Bayóvar,Av. Fernando Wiesse,3149,,X,-11.931259,-77.022731,F,Cerrado
00000090/23,202301,Alumbrado Público,Mayor iluminación en calle / plaza,Solicitud,2023-01-05,15:49:09,Puente Piedra,Zapallal,Av. Puente Piedra,424,,Facebook,-11.850637,-77.088015,F,Cerrado
00000091/23,202301,Limpieza Pública,Reubicación de contenedor,Solicitud,2023-01-05,16:06:19,Villa El Salvador,Oasis de Villa,Av. César Vallejo,1218,,Facebook,-12.215397,-76.939732,F,Cerrado
00000092/23,202301,Limpieza Pública,Lavado de contenedor,Solicitud,2023-01-05,16:06:51,Rímac,Villacampa,Av. Prolongación Tacna,962,,Línea telefónica,-12.03322,-77.029566,M,Cerrado
00000093/23,202301,Ruido/Contaminación sonora,Consulta técnica sobre tramites de inscripción en el registro de actividades catalogadas como potencialmente contaminantes por ruidos y vibraciones (RAC),Solicitud,2023-01-05,16:23:45,San Juan de Lurigancho,Bayóvar,Av. Las Flores de Primavera,4130,,Facebook,-11.970052,-76.959133,M,Cerrado
00000094/23,202301,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-01-05,17:03:44,Pueblo Libre,San Bernardo,Jr. Manco Segundo,4455,,Facebook,-12.072425,-77.055986,F,Cerrado
00000095/23,202301,Otros,Obra en construcción con caída de materiales,Denuncia,2023-01-05,17:13:55,San Juan de Miraflores,María Auxiliadora,Av. Pedro Miotta,1726,,Línea telefónica,-12.154025,-76.97414,F,Cerrado
00000096/23,202301,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-01-05,18:35:23,San Juan de Miraflores,María Auxiliadora,Av. César Canevaro,1623,,Línea telefónica,-12.140892,-76.974865,F,Cerrado
00000097/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-05,21:02:38,Comas,El Retablo,Av. Universitaria,cdra. 3,frente al mercado del barrio,X,-11.904178,-77.027138,M,Cerrado
00000098/23,202301,Limpieza Pública,"Desratizar, desinsectar y desinfectar en vía pública",Solicitud,2023-01-05,23:53:20,San Martín de Porres,Infantas,Av. Tomás Valle,1255,,Línea telefónica,-12.042139,-77.069993,F,Cerrado
00000099/23,202301,Áreas Verdes,Poda de árbol/despeje de luminaria o semáforo,Solicitud,2023-01-06,09:06:49,Lurigancho-Chosica,Carapongo,Ca. Trujillo Norte,1990,,X,-11.944795,-76.684445,M,Cerrado
00000100/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-06,09:39:12,Ate,Salamanca,Av. José Carlos Mariátegui,2351,,Facebook,-12.064059,-76.951277,M,Cerrado
00000101/23,202301,Limpieza Pública,Lavado de contenedor,Solicitud,2023-01-06,09:44:50,Ate,Santa Clara,Av. Prolongación Javier Prado,839,,Línea telefónica,-12.006176,-76.931524,M,Cerrado
00000102/23,202301,Alumbrado Público,Reparación de luminaria apagada durante la noche,Solicitud,2023-01-06,09:54:26,Villa El Salvador,Oasis de Villa,Av. Micaela Bastidas,1531,,Línea telefónica,-12.205081,-76.920596,F,Cerrado
00000103/23,202301,Limpieza Pública,Retiro de restos de poda o jardinería domiciliaria,Solicitud,2023-01-06,10:00:22,Comas,La Pascana,Av. Belaunde,736,,Facebook,-11.93857,-77.050718,M,Cerrado
00000104/23,202301,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-01-06,10:07:05,San Juan de Miraflores,Ciudad de Dios,Ca. Las Turquesas,4028,,X,-12.156721,-76.956957,F,Cerrado
00000105/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-06,10:14:52,El Agustino,La Corporación,Av. Ferrocarril,3201,,Facebook,-12.02607,-76.976046,M,Cerrado
00000106/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-06,10:27:14,San Juan de Lurigancho,Mangomarca,Av. Gran Chimú,2216,,Facebook,-11.986233,-76.995143,M,Cerrado
00000107/23,202301,Limpieza Pública,Reubicación de contenedor,Solicitud,2023-01-06,11:45:19,Los Olivos,Parque Naranjal,Av. Carlos Izaguirre,3330,,Presencial,-11.976525,-77.060514,M,Cerrado
00000108/23,202301,Limpieza Pública,Reparación de contenedor,Solicitud,2023-01-06,12:49:00,San Juan de Miraflores,Pamplona Alta,Av. Los Héroes,4202,,Línea telefónica,-12.159301,-76.980762,F,Cerrado
00000109/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-06,12:55:20,San Juan de Lurigancho,Zárate,Av. Las Flores de Primavera,2711,,Línea telefónica,-11.940066,-77.030209,F,Cerrado
00000110/23,202301,Limpieza Pública,Reubicación de contenedor,Solicitud,2023-01-06,13:33:52,San Juan de Lurigancho,Bayóvar,Av. Gran Chimú,3425,,X,-11.953932,-77.014554,F,Cerrado
00000111/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-06,14:21:58,Ate,Santa Clara,Av. Metropolitana,2333,,X,-12.015477,-76.896086,M,Cerrado
00000112/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-06,14:34:11,Chorrillos,Matellini,Av. Defensores del Morro,2010,,Facebook,-12.157194,-77.019525,F,Cerrado
00000113/23,202301,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-01-06,14:55:51,Puente Piedra,Laderas de Chillón,Panamericana Norte,7122,,Línea telefónica,-11.880305,-77.090185,M,Cerrado
00000114/23,202301,Limpieza Pública,Reparación de tacho de basura,Solicitud,2023-01-06,15:08:48,Santa Anita,Viña San Francisco,Av. La Cultura,701,,Línea telefónica,-12.035048,-76.960926,M,Cerrado
00000115/23,202301,Otros,"Irregularidades en el mantenimiento y seguridad de ascensores, escaleras mecánicas o montacargas en establecimientos no comerciales",Denuncia,2023-01-06,15:52:59,Rímac,Leoncio Prado,Jr. Chiclayo,5558,,Línea telefónica,-12.033361,-77.022423,F,Cerrado
00000116/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-06,16:26:45,Comas,Santa Luzmila,Ca. Los Incas,1634,,X,-11.939646,-77.025545,F,Cerrado
00000117/23,202301,Tránsito/Transporte,Reparación de semáforo,Solicitud,2023-01-06,17:24:18,Lurín,Villa Alejandro,Av. Lima,4200,,Facebook,-12.238756,-76.902302,M,Cerrado
00000118/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-06,17:44:20,Puente Piedra,La Ensenada,Av. San Juan de Dios,617,,Facebook,-11.850565,-77.10686,M,Cerrado
00000119/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-06,18:13:04,Chorrillos,Los Cedros de Villa,Av. Huaylas,3193,,X,-12.179476,-77.009124,F,Cerrado
00000120/23,202301,Áreas Verdes,Poda de árbol/despeje de luminaria o semáforo,Solicitud,2023-01-06,19:07:31,Cercado de Lima,Palomino,Jr. Áncash,418,,Facebook,-12.038801,-77.031488,M,Cerrado
00000121/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-06,19:46:11,Comas,Año Nuevo,Av. Micaela Bastidas,2127,,X,-11.947082,-77.069293,M,Cerrado
00000122/23,202301,Ruido/Contaminación sonora,Ruidos molestos y vibraciones,Denuncia,2023-01-06,20:45:47,Chorrillos,Los Cedros de Villa,Av. Alameda Sur,1080,,Facebook,-12.181709,-77.030153,M,Cerrado
00000123/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-06,21:03:39,San Borja,Chacarilla del Estanque,Av. Aviación,1230,,Línea telefónica,-12.093165,-76.994792,F,Cerrado
00000124/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-06,21:17:07,San Juan de Lurigancho,Mangomarca,Av. Gran Chimú,1077,,Línea telefónica,-12.003041,-76.972324,F,Cerrado
00000125/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-06,22:00:12,Santiago de Surco,La Capullana,Av. Ayacucho,4381,,Facebook,-12.142726,-77.010822,F,Cerrado
00000126/23,202301,Áreas Verdes,Plantación de árbol,Solicitud,2023-01-07,06:55:14,Los Olivos,El Trébol,Ca. Los Nogales,1562,,Facebook,-11.951861,-77.064976,M,Cerrado
00000127/23,202301,Limpieza Pública,Retiro de escombros/restos de obra,Solicitud,2023-01-07,09:01:39,San Juan de Lurigancho,Mangomarca,Av. Canto Grande,3384,,Facebook,-12.016091,-77.015691,M,Cerrado
00000128/23,202301,Tránsito/Transporte,Vehículo mal estacionado,Denuncia,2023-01-07,11:07:09,Villa María del Triunfo,César Vallejo,Av. 26 de Noviembre,cdra. 9,a la altura del paradero de Av. Salvador Allende,X,-12.135731,-76.925248,M,Cerrado
